48.8858222,2.3914182,83.3,16,12,20,15,15,35
48.8858299,2.3914382,4853.1,16,12,20,15,15,36
48.8858299,2.3914566,83.5,16,12,20,15,15,36
48.8858299,2.3914766,83.6,16,12,20,15,15,38
48.8858299,2.3915050,83.6,16,12,20,15,15,39
48.8858299,2.3915250,83.7,16,12,20,15,15,40
48.8858299,2.3915414,83.8,16,12,20,15,15,40
48.8858299,2.3915414,83.9,16,12,20,15,15,42
48.8858299,2.3915233,83.9,16,12,20,15,15,43
48.8858299,2.3915016,84.0,16,12,20,15,15,44
48.8858299,2.3914632,84.1,16,12,20,15,15,44
48.8858222,2.3914332,84.1,16,12,20,15,15,46
48.8858222,2.3914017,84.1,16,12,20,15,15,47
48.8858222,2.3913664,84.1,16,12,20,15,15,48
48.8858222,2.3913102,84.1,16,12,20,15,15,48
48.8858222,2.3912982,84.1,16,12,20,15,15,50
